filename,hex_code
red1.jpg,#FFC0CB
red2.jpg,#FFBCC6
red3.jpg,#FFB8C2
red4.jpg,#FFB4BE
red5.jpg,#FFB0BA
red6.jpg,#FFACB6
red7.jpg,#FFA8B2
red8.jpg,#FFA4AE
red9.jpg,#FFA0A9
red10.jpg,#FF9CA5
red11.jpg,#FF98A1
red12.jpg,#FF949D
red13.jpg,#FF9099
red14.jpg,#FF8D95
red15.jpg,#FF8991
red16.jpg,#FF858C
red17.jpg,#FF8188
red18.jpg,#FF7D84
red19.jpg,#FF7980
red20.jpg,#FF757C
red21.jpg,#FF7178
red22.jpg,#FF6D74
red23.jpg,#FF696F
red24.jpg,#FF656B
red25.jpg,#FF6167
red26.jpg,#FF5E63
red27.jpg,#FF5A5F
red28.jpg,#FF565B
red29.jpg,#FF5257
red30.jpg,#FF4E52
red31.jpg,#FF4A4E
red32.jpg,#FF464A
red33.jpg,#FF4246
red34.jpg,#FF3E42
red35.jpg,#FF3A3E
red36.jpg,#FF363A
red37.jpg,#FF3235
red38.jpg,#FF2F31
red39.jpg,#FF2B2D
red40.jpg,#FF2729
red41.jpg,#FF2325
red42.jpg,#FF1F21
red43.jpg,#FF1B1D
red44.jpg,#FF1718
red45.jpg,#FF1314
red46.jpg,#FF0F10
red47.jpg,#FF0B0C
red48.jpg,#FF0708
red49.jpg,#FF0304
red50.jpg,#FF0000
blue1.jpg,#ADD8E6
blue2.jpg,#A9D3E6
blue3.jpg,#A5CFE7
blue4.jpg,#A2CAE7
blue5.jpg,#9EC6E8
blue6.jpg,#9BC1E8
blue7.jpg,#97BDE9
blue8.jpg,#94B9E9
blue9.jpg,#90B4EA
blue10.jpg,#8DB0EA
blue11.jpg,#89ABEB
blue12.jpg,#86A7EB
blue13.jpg,#82A3EC
blue14.jpg,#7F9EEC
blue15.jpg,#7B9AED
blue16.jpg,#7895ED
blue17.jpg,#7491EE
blue18.jpg,#708DEE
blue19.jpg,#6D88EF
blue20.jpg,#6984EF
blue21.jpg,#667FF0
blue22.jpg,#627BF0
blue23.jpg,#5F77F1
blue24.jpg,#5B72F1
blue25.jpg,#586EF2
blue26.jpg,#5469F2
blue27.jpg,#5165F3
blue28.jpg,#4D60F3
blue29.jpg,#4A5CF4
blue30.jpg,#4658F4
blue31.jpg,#4353F5
blue32.jpg,#3F4FF5
blue33.jpg,#3C4AF6
blue34.jpg,#3846F6
blue35.jpg,#3442F7
blue36.jpg,#313DF7
blue37.jpg,#2D39F8
blue38.jpg,#2A34F8
blue39.jpg,#2630F9
blue40.jpg,#232CF9
blue41.jpg,#1F27FA
blue42.jpg,#1C23FA
blue43.jpg,#181EFB
blue44.jpg,#151AFB
blue45.jpg,#1116FC
blue46.jpg,#0E11FC
blue47.jpg,#0A0DFD
blue48.jpg,#0708FD
blue49.jpg,#0304FE
blue50.jpg,#0000FF